car_name,registration_year,insurance_validity,fuel_type,ownsership,transmission,manufacturing_year,seats,kms_driven,mileage(kmpl),engine(cc),torque(Nm),price(in lakhs),short_carname
2017 Hyundai Creta 1.6 VTVT AT SX Plus,2017,Third Party,Petrol,First Owner,Automatic,2017,5.0,50000.0,13.0,1591.0,1213.0,7.75,Hyundai Creta
2018 Toyota Fortuner 2.8 4WD MT,2018,Third Party,Diesel,First Owner,Manual,2018,7.0,56000.0,14.24,2755.0,1745.0,27.5,Toyota Fortuner
2018 Hyundai Grand i10 1.2 Kappa Asta,2018,Comprehensive,Petrol,First Owner,Manual,2018,5.0,40427.0,18.9,1197.0,8186.0,5.36,Hyundai Grand
2019 Maruti Ciaz 1.4 Delta,2019,Third Party,Petrol,First Owner,Manual,2019,5.0,54213.0,20.73,1373.0,911.0,7.9,Maruti Ciaz
2011 Toyota Corolla Altis G,2011,Third Party,Petrol,Second Owner,Manual,2011,5.0,85000.0,14.53,1798.0,1381.0,2.75,Toyota Corolla
2016 Hyundai Grand i10 Sportz,2016,Third Party,Petrol,First Owner,Manual,2016,5.0,47000.0,18.9,1197.0,82.0,3.85,Hyundai Grand
2015 Honda City i VTEC CVT VX,2015,Comprehensive,Petrol,First Owner,Automatic,2015,5.0,54630.0,18.0,1497.0,1173.0,6.86,Honda City
2015 Audi Q7 45 TDI Quattro Technology,2016,Comprehensive,Diesel,Second Owner,Automatic,2015,7.0,72222.0,14.75,2967.0,245.0,34.9,Audi Q7
2019 Honda City i-VTEC CVT ZX,2020,Comprehensive,Petrol,First Owner,Automatic,2019,5.0,41116.0,18.0,1497.0,1176.0,10.39,Honda City
2019 Land Rover Range Rover Sport 2.0 Petrol SE,2019,Zero Dep,Petrol,First Owner,Automatic,2019,5.0,4000.0,12.65,1997.0,29636.0,1.1,Land Rover
2017 Jaguar XJ 2.0L Portfolio,2017,Comprehensive,Petrol,First Owner,Automatic,2017,5.0,20000.0,9.43,1999.0,2374.0,69.0,Jaguar XJ
2021 Tata Altroz XZ Plus BSVI,2023,Comprehensive,Petrol,First Owner,Manual,2021,5.0,29502.0,19.33,1199.0,8683.0,7.56,Tata Altroz
2014 BMW X5 xDrive 30d M Sport,2014,Comprehensive,Diesel,First Owner,Automatic,2014,5.0,132501.0,15.97,2993.0,258.0,12.21,BMW X5
2017 Mercedes-Benz E-Class E250 CDI Avantgarde,2017,Comprehensive,Diesel,First Owner,Automatic,2017,5.0,35000.0,13.0,2143.0,204.0,23.9,Mercedes-Benz E-Class
2017 Honda WR-V i-DTEC VX,2017,Comprehensive,Diesel,Second Owner,Manual,2017,5.0,56458.0,25.5,1498.0,986.0,5.71,Honda WR-V
2018 Maruti Ciaz 1.4 AT Alpha,2018,Comprehensive,Petrol,First Owner,Automatic,2018,5.0,50000.0,19.12,1373.0,911.0,7.25,Maruti Ciaz
2018 Maruti Baleno 1.2 Zeta,2018,Comprehensive,Petrol,First Owner,Manual,2018,5.0,61657.0,21.4,1197.0,831.0,5.93,Maruti Baleno
2016 Honda City i VTEC CVT VX,2016,Third Party,Petrol,First Owner,Automatic,2016,5.0,50000.0,18.0,1497.0,1173.0,6.5,Honda City
2017 Maruti Ciaz 1.4 Zeta,2017,Third Party,Petrol,First Owner,Manual,2017,5.0,67000.0,20.73,1373.0,911.0,6.25,Maruti Ciaz
2016 Hyundai i20 Sportz 1.2,2016,Comprehensive,Petrol,First Owner,Manual,2016,5.0,104948.0,18.6,1197.0,8183.0,4.61,Hyundai i20
2017 Jaguar XJ 2.0L Portfolio,2017,Comprehensive,Petrol,First Owner,Automatic,2017,5.0,20000.0,9.43,1999.0,2374.0,52.0,Jaguar XJ
2023 Kia Seltos HTK Plus,2023,Third Party,Petrol,First Owner,Manual,2023,5.0,10000.0,17.0,1497.0,11342.0,15.21,Kia Seltos
2014 Mercedes-Benz M-Class ML 350 CDI,2014,Comprehensive,Diesel,Second Owner,Automatic,2014,5.0,154000.0,11.74,2987.0,2548.0,17.5,Mercedes-Benz M-Class
2016 Toyota Camry 2.5 Hybrid,2016,Comprehensive,Petrol,First Owner,Automatic,2016,5.0,46000.0,19.16,2494.0,1577.0,20.5,Toyota Camry
2015 Honda City i VTEC E,2015,Comprehensive,Petrol,First Owner,Manual,2015,5.0,90000.0,1497.0,1173.0,145.0,5.65,Honda City
2020 Audi A3 35 TDI Premium Plus,2020,Comprehensive,Diesel,Second Owner,Automatic,2020,5.0,39000.0,20.38,1968.0,143.0,22.5,Audi A3
2017 Hyundai Creta 1.6 VTVT AT SX Plus,2017,Comprehensive,Petrol,First Owner,Automatic,2017,5.0,64727.0,13.0,1591.0,1213.0,9.87,Hyundai Creta
2018 Hyundai i20 Active 1.4 S,2018,Third Party,Diesel,First Owner,Manual,2018,5.0,65000.0,21.19,1396.0,8873.0,6.5,Hyundai i20
2013 Honda Brio S MT,2013,Third Party,Petrol,Second Owner,Manual,2013,5.0,44636.0,19.4,1198.0,868.0,2.63,Honda Brio
2015 Toyota Fortuner 4x2 AT,2015,Comprehensive,Diesel,Second Owner,Automatic,2015,7.0,100000.0,12.55,2982.0,1685.0,15.5,Toyota Fortuner
2021 Mercedes-Benz C-Class Progressive C 220d,2021,Zero Dep,Diesel,First Owner,Automatic,2021,5.0,23616.0,12.6,1950.0,194.0,43.9,Mercedes-Benz C-Class
2014 Hyundai Xcent 1.2 Kappa S,2014,Comprehensive,Petrol,First Owner,Manual,2014,5.0,107682.0,19.1,1197.0,82.0,3.39,Hyundai Xcent
2022 Mercedes-Benz AMG GLA 35 4MATIC,2022,Third Party,Petrol,First Owner,Automatic,2022,5.0,9500.0,1991.0,30173.0,400.0,56.5,Mercedes-Benz AMG
2019 Land Rover Discovery Sport Petrol HSE 7S,2019,Comprehensive,Petrol,First Owner,Automatic,2019,7.0,47500.0,12.81,1997.0,23736.0,43.0,Land Rover
2011 Volkswagen Polo Petrol Highline 1.2L,2011,Comprehensive,Petrol,Second Owner,Manual,2011,5.0,101914.0,16.47,1198.0,739.0,2.59,Volkswagen Polo
2019 Maruti Baleno Alpha,2019,Comprehensive,Petrol,First Owner,Manual,2019,5.0,45507.0,21.01,1197.0,8180.0,6.49,Maruti Baleno
2015 Audi A8 L 3.0 TDI quattro,2015,Comprehensive,Diesel,First Owner,Automatic,2015,4.0,58000.0,16.77,2967.0,24674.0,29.75,Audi A8
2022 Mercedes-Benz S-Class S 350d BSVI,2022,Comprehensive,Diesel,First Owner,Automatic,2022,5.0,7000.0,2925.0,28161.0,600.0,1.55,Mercedes-Benz S-Class
2015 Ford Ecosport 1.5 Ti VCT AT Titanium,2015,Comprehensive,Petrol,Second Owner,Automatic,2015,5.0,74095.0,16.5,1499.0,110.0,5.37,Ford Ecosport
