car_name,registration_year,insurance_validity,fuel_type,ownsership,transmission,manufacturing_year,seats,kms_driven,mileage(kmpl),engine(cc),torque(Nm),price(in lakhs),short_carname
2019 Hyundai Santro Sportz BSIV,2019,Comprehensive,Petrol,First Owner,Manual,2019,5.0,23592.0,20.3,1086.0,68.0,4.71,Hyundai Santro
2014 Honda City i VTEC V,2014,Comprehensive,Petrol,Second Owner,Manual,2014,5.0,69000.0,17.4,1497.0,1173.0,4.9,Honda City
2016 Hyundai Creta 1.6 SX Automatic,2016,Comprehensive,Petrol,First Owner,Automatic,2016,5.0,70000.0,14.8,1591.0,1213.0,7.95,Hyundai Creta
2015 Honda Brio S MT,2015,Comprehensive,Petrol,First Owner,Manual,2015,5.0,64155.0,19.4,1198.0,868.0,3.18,Honda Brio
2018 Mercedes-Benz A Class A200 CDI,2018,Comprehensive,Diesel,First Owner,Automatic,2018,5.0,38000.0,20.0,2143.0,1073.0,17.49,Mercedes-Benz A
2017 Hyundai Xcent 1.2 VTVT E Plus,2017,Comprehensive,Petrol,First Owner,Manual,2017,5.0,68018.0,20.14,1197.0,8186.0,4.12,Hyundai Xcent
2022 Toyota Hyryder V AWD BSVI,2022,Comprehensive,Petrol,First Owner,Manual,2022,5.0,14000.0,19.39,1462.0,10164.0,19.9,Toyota Hyryder
2018 Honda WR-V i-VTEC VX,2018,Comprehensive,Petrol,First Owner,Manual,2018,5.0,29846.0,17.5,1199.0,887.0,7.6,Honda WR-V
2017 Tata Tiago XZ,2017,Comprehensive,Petrol,First Owner,Manual,2017,5.0,26092.0,23.84,1199.0,8383.0,4.5,Tata Tiago
2019 Maruti Swift Dzire LXI 1.2,2019,Comprehensive,Petrol,First Owner,Manual,2019,5.0,50823.0,1197.0,8180.0,113.0,5.5,Maruti Swift
2020 BMW X6 Xdrive40i M Sport,2020,Third Party,Petrol,First Owner,Automatic,2020,5.0,5200.0,10.31,2998.0,33525.0,69.75,BMW X6
2018 Mahindra Marazzo M8,2019,Comprehensive,Diesel,First Owner,Manual,2018,7.0,36050.0,17.3,1497.0,121.0,8.99,Mahindra Marazzo
2017 Honda City i-VTEC CVT VX,2017,Comprehensive,Petrol,First Owner,Automatic,2017,5.0,90932.0,18.0,1497.0,1176.0,7.86,Honda City
2021 Tata Harrier XZA Plus (O) AT BSVI,2021,Comprehensive,Diesel,First Owner,Automatic,2021,5.0,53000.0,14.6,1956.0,16767.0,20.0,Tata Harrier
2020 Mercedes-Benz C-Class Progressive C 220d,2021,Zero Dep,Diesel,Second Owner,Automatic,2020,5.0,11848.0,12.6,1950.0,194.0,39.9,Mercedes-Benz C-Class
2014 Honda Mobilio V i-VTEC,2014,Comprehensive,Petrol,First Owner,Manual,2014,7.0,73580.0,17.3,1497.0,1173.0,4.66,Honda Mobilio
2019 Jeep Compass 1.4 Limited,2019,Comprehensive,Petrol,First Owner,Automatic,2019,5.0,22600.0,16.0,1368.0,160.0,14.9,Jeep Compass
2019 Audi A4 35 TDI Technology,2019,Comprehensive,Diesel,First Owner,Automatic,2019,5.0,36000.0,18.25,1968.0,18774.0,27.5,Audi A4
2021 Tata Altroz XE Diesel,2021,Comprehensive,Diesel,First Owner,Manual,2021,5.0,44275.0,1497.0,8877.0,200.0,6.2,Tata Altroz
2020 Hyundai i20 Magna Plus,2020,Comprehensive,Petrol,First Owner,Manual,2020,5.0,52000.0,18.6,1197.0,8186.0,6.25,Hyundai i20
2021 Tata Safari XZA Plus AT,2021,Comprehensive,Diesel,Second Owner,Automatic,2021,7.0,26000.0,14.08,1956.0,16767.0,20.0,Tata Safari
2018 Maruti Ciaz 1.4 Delta,2018,Comprehensive,Petrol,First Owner,Manual,2018,5.0,45239.0,20.73,1373.0,911.0,6.33,Maruti Ciaz
2017 Mercedes-Benz GLA Class 200,2017,Comprehensive,Petrol,Second Owner,Automatic,2017,5.0,51000.0,13.7,1991.0,183.0,21.0,Mercedes-Benz GLA
2019 Maruti Vitara Brezza ZDi Plus AMT,2019,Comprehensive,Diesel,First Owner,Automatic,2019,5.0,102973.0,24.3,1248.0,885.0,7.99,Maruti Vitara
2016 Audi A6 35 TDI,2016,Comprehensive,Diesel,Second Owner,Automatic,2016,5.0,87000.0,18.53,1968.0,18774.0,19.0,Audi A6
2014 Maruti Swift Dzire ZXI,2014,Third Party,Petrol,Second Owner,Manual,2014,5.0,40000.0,19.1,1197.0,858.0,3.7,Maruti Swift
2014 Hyundai Grand i10 Sportz,2015,Comprehensive,Petrol,Second Owner,Manual,2014,5.0,63952.0,18.9,1197.0,82.0,3.55,Hyundai Grand
2018 Mahindra XUV500 W11 AT BSIV,2018,Comprehensive,Diesel,Second Owner,Automatic,2018,7.0,58000.0,15.1,2179.0,15287.0,12.0,Mahindra XUV500
2023 Audi Q8 Standard,2023,Comprehensive,Petrol,First Owner,Automatic,2023,5.0,7000.0,9.8,2995.0,340.0,1.12,Audi Q8
2019 Tata Nexon 1.2 Revotron XZA Plus DualTone,2019,Comprehensive,Petrol,First Owner,Automatic,2019,5.0,46310.0,17.0,1198.0,1085.0,8.74,Tata Nexon
2020 MG Hector Plus Sharp DCT,2020,Comprehensive,Petrol,First Owner,Automatic,2020,6.0,42000.0,11.67,1451.0,141.0,16.0,MG Hector
2015 Honda City i VTEC VX Option,2015,Comprehensive,Petrol,First Owner,Manual,2015,5.0,94498.0,17.8,1497.0,1173.0,5.81,Honda City
2022 Volvo XC60 B5 Ultimate,2022,Comprehensive,Petrol,First Owner,Automatic,2022,5.0,9300.0,11.2,1969.0,250.0,66.0,Volvo XC60
2019 BMW X5 xDrive 30d xLine,2019,Comprehensive,Diesel,First Owner,Automatic,2019,5.0,37000.0,13.38,2993.0,26150.0,71.99,BMW X5
2019 Honda WR-V i-DTEC V,2019,Comprehensive,Diesel,First Owner,Manual,2019,5.0,144234.0,25.5,1498.0,986.0,5.52,Honda WR-V
2017 Maruti Swift Dzire VXI Optional,2017,Comprehensive,Petrol,First Owner,Manual,2017,5.0,48000.0,20.85,1197.0,8314.0,5.1,Maruti Swift
2021 Land Rover Range Rover Velar R-Dynamic S Petrol,2021,Comprehensive,Petrol,Second Owner,Automatic,2021,5.0,19000.0,15.8,1997.0,24674.0,80.0,Land Rover
2016 Hyundai i20 Sportz 1.2,2016,Comprehensive,Petrol,First Owner,Manual,2016,5.0,114658.0,18.6,1197.0,8183.0,5.21,Hyundai i20
2015 Audi A4 2.0 TDI Premium Plus,2015,Comprehensive,Diesel,First Owner,Automatic,2015,5.0,71000.0,17.11,1968.0,17433.0,12.65,Audi A4
2022 Maruti Swift LXI BSVI,2022,Comprehensive,Petrol,First Owner,Manual,2022,5.0,8000.0,1197.0,8850.0,113.0,5.95,Maruti Swift
2018 BMW X3 xDrive 20d Luxury Line,2018,Comprehensive,Diesel,First Owner,Automatic,2018,5.0,28000.0,16.55,1995.0,1877.0,39.9,BMW X3
2019 Honda WR-V i-VTEC VX,2019,Comprehensive,Petrol,First Owner,Manual,2019,5.0,38616.0,17.5,1199.0,887.0,7.41,Honda WR-V
2019 Skoda Octavia 1.8 TSI AT L K,2019,Comprehensive,Petrol,First Owner,Automatic,2019,5.0,30000.0,15.1,1798.0,178.0,21.5,Skoda Octavia
2018 Hyundai i20 Asta Option 1.2,2018,Comprehensive,Petrol,First Owner,Manual,2018,5.0,33093.0,18.6,1197.0,8183.0,6.81,Hyundai i20
2019 BMW X1 sDrive 20D xLine,2019,Comprehensive,Diesel,First Owner,Automatic,2019,5.0,33000.0,17.05,1995.0,184.0,29.0,BMW X1
2019 Toyota Innova Crysta 2.8 GX AT BSIV,2019,Comprehensive,Diesel,First Owner,Automatic,2019,7.0,57000.0,11.36,2755.0,1715.0,17.5,Toyota Innova
2018 Renault Duster 85PS Diesel RxS,2018,Comprehensive,Diesel,First Owner,Manual,2018,5.0,75206.0,19.87,1461.0,838.0,6.49,Renault Duster
2019 Jeep Compass 1.4 Limited Option,2019,Third Party,Petrol,Second Owner,Automatic,2019,5.0,40000.0,16.0,1368.0,160.0,15.0,Jeep Compass
2016 Mercedes-Benz CLA 200 CDI Sport,2016,Third Party,Diesel,Second Owner,Automatic,2016,5.0,42000.0,17.9,2143.0,136.0,17.6,Mercedes-Benz CLA
2016 Hyundai Grand i10 Sportz,2017,Comprehensive,Petrol,First Owner,Manual,2016,5.0,96241.0,18.9,1197.0,82.0,3.77,Hyundai Grand
2022 Maruti Ertiga ZXI CNG,2022,Comprehensive,CNG,First Owner,Manual,2022,7.0,34214.0,26.11,1462.0,8663.0,12.75,Maruti Ertiga
2015 Maruti Ciaz ZXi,2015,Comprehensive,Petrol,First Owner,Manual,2015,5.0,55818.0,20.73,1373.0,911.0,6.61,Maruti Ciaz
2020 Land Rover Range Rover Velar R-Dynamic S Petrol,2020,Comprehensive,Petrol,First Owner,Automatic,2020,5.0,80000.0,15.8,1997.0,24674.0,68.0,Land Rover
2018 Maruti Wagon R LXI CNG,2018,Third Party,CNG,First Owner,Manual,2018,5.0,40000.0,26.6,998.0,5816.0,4.0,Maruti Wagon
2015 Maruti Wagon R VXi BSII,2015,Comprehensive,Petrol,First Owner,Manual,2015,5.0,70516.0,998.0,671.0,90.0,3.11,Maruti Wagon
2020 Maruti Wagon R ZXI AMT 1.2,2020,Comprehensive,Petrol,First Owner,Automatic,2020,5.0,48000.0,20.52,1197.0,8180.0,5.75,Maruti Wagon
2015 BMW 5 Series 520d Luxury Line,2015,Third Party,Diesel,First Owner,Automatic,2015,5.0,94000.0,20.37,1995.0,18774.0,16.9,BMW 5
2016 Hyundai Creta 1.6 Gamma SX Plus,2016,Comprehensive,Petrol,First Owner,Manual,2016,5.0,80627.0,15.29,1591.0,1213.0,8.16,Hyundai Creta
2015 Skoda Rapid 1.6 MPI AT Elegance Plus Black Package,2015,Comprehensive,Petrol,First Owner,Automatic,2015,5.0,49000.0,14.3,1598.0,10352.0,5.25,Skoda Rapid
2020 Lexus RX 450hL,2020,Comprehensive,Petrol,First Owner,Automatic,2020,5.0,19000.0,18.8,3456.0,25881.0,82.0,Lexus RX
2017 Honda WR-V i-VTEC VX,2017,Comprehensive,Petrol,First Owner,Manual,2017,5.0,53311.0,17.5,1199.0,887.0,6.75,Honda WR-V
2018 Hyundai i20 Magna Plus BSIV,2018,Comprehensive,Petrol,First Owner,Manual,2018,5.0,70000.0,18.6,1197.0,8186.0,5.85,Hyundai i20
2016 Hyundai i20 Magna 1.2,2016,Comprehensive,Petrol,First Owner,Manual,2016,5.0,108836.0,18.6,1197.0,8183.0,4.49,Hyundai i20
2018 BMW X5 xDrive30d Edition X,2018,Comprehensive,Diesel,First Owner,Automatic,2018,5.0,40000.0,15.97,2993.0,258.0,42.5,BMW X5
2017 Maruti Vitara Brezza ZDi,2017,Third Party,Diesel,First Owner,Manual,2017,5.0,120000.0,24.3,1248.0,885.0,6.0,Maruti Vitara
2016 Maruti Ciaz AT ZXi,2016,Comprehensive,Petrol,First Owner,Automatic,2016,5.0,44525.0,19.12,1373.0,911.0,6.93,Maruti Ciaz
2015 BMW X5 xDrive 30d Design Pure Experience 5 Seater,2015,Comprehensive,Diesel,First Owner,Automatic,2015,5.0,80000.0,15.97,2993.0,258.0,26.5,BMW X5
2018 Honda WR-V i-VTEC VX,2018,Comprehensive,Petrol,First Owner,Manual,2018,5.0,64862.0,17.5,1199.0,887.0,6.07,Honda WR-V
2012 Honda City V MT,2012,Third Party,Petrol,Second Owner,Manual,2012,5.0,100000.0,16.8,1497.0,1163.0,2.95,Honda City
2016 Maruti Baleno 1.2 Alpha,2016,Comprehensive,Petrol,First Owner,Manual,2016,5.0,63839.0,21.4,1197.0,831.0,5.59,Maruti Baleno
2022 Mercedes-Benz AMG GLC 43 4MATIC Coupe,2022,Comprehensive,Petrol,First Owner,Automatic,2022,5.0,14000.0,2996.0,38487.0,520.0,81.9,Mercedes-Benz AMG
2014 Hyundai Grand i10 Asta,2014,Third Party,Petrol,First Owner,Manual,2014,5.0,50000.0,18.9,1197.0,82.0,3.75,Hyundai Grand
2019 Mahindra XUV300 W8 Diesel BSIV,2019,Comprehensive,Diesel,First Owner,Manual,2019,5.0,113820.0,20.0,1497.0,115.0,7.89,Mahindra XUV300
2017 Maruti Ciaz ZDi Plus SHVS,2017,Third Party,Diesel,First Owner,Manual,2017,5.0,110000.0,28.09,1248.0,885.0,5.0,Maruti Ciaz
2018 Hyundai Creta 1.6 E Plus,2018,Third Party,Petrol,First Owner,Manual,2018,5.0,31000.0,15.8,1591.0,1213.0,8.65,Hyundai Creta
2018 Maruti Swift Dzire AMT ZDI,2018,Comprehensive,Diesel,First Owner,Automatic,2018,5.0,97610.0,28.4,1248.0,7402.0,5.64,Maruti Swift
2019 Nissan Sunny XV CVT,2019,Comprehensive,Petrol,First Owner,Automatic,2019,5.0,44000.0,17.5,1498.0,996.0,6.25,Nissan Sunny
2019 Mercedes-Benz C-Class Prime C 220d,2020,Third Party,Diesel,First Owner,Automatic,2019,5.0,34496.0,12.6,1950.0,194.0,39.0,Mercedes-Benz C-Class
2016 Maruti Baleno 1.2 Alpha,2016,Comprehensive,Petrol,First Owner,Manual,2016,5.0,75163.0,21.4,1197.0,831.0,5.14,Maruti Baleno
2022 Maruti Ciaz Alpha BSVI,2022,Third Party,Petrol,First Owner,Manual,2022,5.0,6900.0,20.65,1462.0,10325.0,10.25,Maruti Ciaz
2015 Honda Amaze S i-Vtech,2015,Comprehensive,Petrol,Second Owner,Manual,2015,5.0,89961.0,18.0,1198.0,867.0,3.74,Honda Amaze
2022 BMW 3 Series Gran Limousine 320Ld Luxury Line,2022,Comprehensive,Diesel,First Owner,Automatic,2022,5.0,4000.0,19.62,1995.0,18740.0,54.0,BMW 3
2021 Tata Harrier XZA Plus AT,2021,Comprehensive,Diesel,First Owner,Automatic,2021,5.0,54000.0,14.6,1956.0,16767.0,17.5,Tata Harrier
2019 Maruti Swift AMT ZXI Plus,2019,Comprehensive,Petrol,Second Owner,Automatic,2019,5.0,58740.0,21.21,1197.0,8180.0,5.99,Maruti Swift
2019 Toyota Innova Crysta 2.8 GX AT BSIV,2019,Third Party,Diesel,First Owner,Automatic,2019,7.0,100000.0,11.36,2755.0,1715.0,15.5,Toyota Innova
2020 Land Rover Range Rover Velar R-Dynamic S Petrol,2022,Comprehensive,Petrol,First Owner,Automatic,2020,5.0,18700.0,15.8,1997.0,24674.0,83.0,Land Rover
2017 Honda Amaze S i-VTEC,2017,Comprehensive,Petrol,First Owner,Manual,2017,5.0,83690.0,17.8,1198.0,867.0,4.54,Honda Amaze
2018 Mercedes-Benz E-Class Expression E 200 BSIV,2018,Third Party,Petrol,First Owner,Automatic,2018,5.0,11000.0,15.0,1991.0,1944.0,50.0,Mercedes-Benz E-Class
2012 Toyota Etios Liva G,2012,Comprehensive,Petrol,First Owner,Manual,2012,5.0,50900.0,17.71,1197.0,789.0,2.95,Toyota Etios
2021 Mercedes-Benz E-Class Exclusive E 220d,2021,Comprehensive,Diesel,First Owner,Automatic,2021,5.0,25000.0,16.1,1950.0,19176.0,64.0,Mercedes-Benz E-Class
2015 Hyundai Grand i10 Asta Option,2015,Comprehensive,Petrol,First Owner,Manual,2015,5.0,78651.0,18.9,1197.0,82.0,3.79,Hyundai Grand
2019 Maruti Ciaz Zeta BSIV,2019,Comprehensive,Petrol,First Owner,Manual,2019,5.0,50000.0,21.56,1462.0,10325.0,7.5,Maruti Ciaz
2023 Volkswagen Virtus Highline BSVI,2023,Comprehensive,Petrol,First Owner,Manual,2023,5.0,9818.0,19.4,999.0,11398.0,13.9,Volkswagen Virtus
2019 Maruti SX4 S Cross Zeta DDiS 200 SH,2019,Comprehensive,Diesel,First Owner,Manual,2019,5.0,49230.0,25.1,1248.0,885.0,8.7,Maruti SX4
2018 Hyundai Verna VTVT 1.6 AT EX,2018,Comprehensive,Petrol,First Owner,Automatic,2018,5.0,65000.0,17.0,1591.0,1213.0,8.85,Hyundai Verna
2017 BMW X1 sDrive 20d xLine,2017,Comprehensive,Diesel,First Owner,Automatic,2017,5.0,69000.0,20.68,1995.0,188.0,19.9,BMW X1
2018 Jeep Compass 2.0 Sport,2018,Third Party,Diesel,First Owner,Manual,2018,5.0,67000.0,17.1,1956.0,170.0,10.9,Jeep Compass
2018 Ford Ecosport 1.5 Petrol Titanium BSIV,2018,Comprehensive,Petrol,First Owner,Manual,2018,5.0,76685.0,17.0,1497.0,12131.0,6.95,Ford Ecosport
2019 Nissan Kicks XV Premium D BSIV,2020,Comprehensive,Diesel,First Owner,Manual,2019,5.0,101954.0,20.45,1461.0,1085.0,6.68,Nissan Kicks
2017 Ford Endeavour 3.2 Titanium AT 4X4,2017,Comprehensive,Diesel,Second Owner,Automatic,2017,7.0,42000.0,10.91,3198.0,197.0,24.5,Ford Endeavour
2016 Hyundai Grand i10 Asta Option AT,2016,Comprehensive,Petrol,First Owner,Automatic,2016,5.0,68897.0,18.9,1197.0,82.0,5.0,Hyundai Grand
2021 BMW 6 Series GT 630i M Sport,2021,Third Party,Petrol,First Owner,Automatic,2021,4.0,26000.0,13.32,1998.0,25479.0,65.0,BMW 6
2017 Maruti SX4 S Cross DDiS 200 Zeta,2017,Comprehensive,Diesel,Second Owner,Manual,2017,5.0,105568.0,23.65,1248.0,885.0,4.63,Maruti SX4
2018 Ford Endeavour 2.2 Trend AT 4X2,2018,Third Party,Diesel,First Owner,Automatic,2018,7.0,54000.0,12.62,2198.0,158.0,24.0,Ford Endeavour
2019 Hyundai Venue SX Plus Turbo DCT,2019,Comprehensive,Petrol,First Owner,Automatic,2019,5.0,61383.0,18.15,998.0,11835.0,9.63,Hyundai Venue
2015 Mercedes-Benz C-Class C 220 CDI Avantgarde,2015,Comprehensive,Diesel,Second Owner,Automatic,2015,5.0,75000.0,19.27,2143.0,170.0,18.5,Mercedes-Benz C-Class
2013 Honda Amaze VX AT i-Vtech,2013,Comprehensive,Petrol,Second Owner,Automatic,2013,5.0,77130.0,15.5,1198.0,867.0,4.0,Honda Amaze
2018 Volvo XC40 D4 R-Design,2018,Zero Dep,Diesel,First Owner,Automatic,2018,5.0,56426.0,18.0,1969.0,190.0,29.9,Volvo XC40
2016 Audi Q7 45 TDI Quattro Premium Plus,2016,Third Party,Diesel,Second Owner,Automatic,2016,7.0,75000.0,14.75,2967.0,245.0,39.9,Audi Q7
2017 Maruti Ciaz 1.4 Delta,2017,Comprehensive,Petrol,First Owner,Manual,2017,5.0,69018.0,20.73,1373.0,911.0,5.75,Maruti Ciaz
2018 Hyundai Creta 1.6 CRDi SX Option,2018,Comprehensive,Diesel,First Owner,Manual,2018,5.0,57000.0,19.67,1582.0,1262.0,10.75,Hyundai Creta
2021 MG Hector Sharp CVT,2021,Comprehensive,Petrol,First Owner,Automatic,2021,5.0,29000.0,1451.0,141.0,250.0,16.5,MG Hector
2019 Hyundai Venue SX Plus Turbo DCT,2019,Comprehensive,Petrol,Second Owner,Automatic,2019,5.0,65710.0,18.15,998.0,11835.0,8.66,Hyundai Venue
2019 Maruti Vitara Brezza ZDi,2019,Comprehensive,Diesel,First Owner,Manual,2019,5.0,51763.0,24.3,1248.0,885.0,8.0,Maruti Vitara
2021 Maruti SX4 S Cross Alpha,2022,Comprehensive,Petrol,First Owner,Manual,2021,5.0,19133.0,18.55,1462.0,10325.0,9.74,Maruti SX4
2018 Hyundai Tucson 2.0 Dual VTVT 2WD AT GLS,2018,Third Party,Petrol,First Owner,Automatic,2018,5.0,22000.0,12.95,1999.0,15288.0,19.25,Hyundai Tucson
2016 Toyota Fortuner 4x4 AT,2016,Third Party,Diesel,First Owner,Automatic,2016,7.0,145000.0,12.55,2982.0,1685.0,18.0,Toyota Fortuner
2015 Maruti Ciaz ZXi,2016,Comprehensive,Petrol,First Owner,Manual,2015,5.0,42733.0,20.73,1373.0,911.0,6.82,Maruti Ciaz
2017 Audi A4 30 TFSI Technology,2017,Third Party,Petrol,Second Owner,Automatic,2017,5.0,30300.0,17.84,1395.0,14751.0,24.8,Audi A4
2022 Mercedes-Benz AMG A 35 4MATIC BSVI,2022,Comprehensive,Petrol,First Owner,Automatic,2022,5.0,14000.0,1991.0,30173.0,400.0,48.5,Mercedes-Benz AMG
2019 Renault Duster 85PS Diesel RxS,2019,Comprehensive,Diesel,Second Owner,Manual,2019,5.0,59215.0,19.87,1461.0,838.0,7.8,Renault Duster
2018 Mercedes-Benz S-Class S 450,2018,Third Party,Petrol,First Owner,Automatic,2018,5.0,22000.0,7.81,2996.0,36207.0,93.0,Mercedes-Benz S-Class
2019 Hyundai Creta 1.6 SX Automatic,2019,Comprehensive,Petrol,First Owner,Automatic,2019,5.0,91724.0,14.8,1591.0,1213.0,10.76,Hyundai Creta
2017 Toyota Fortuner 2.8 2WD AT BSIV,2017,Comprehensive,Diesel,Second Owner,Automatic,2017,7.0,52000.0,12.9,2755.0,1745.0,25.5,Toyota Fortuner
2020 Lexus RX 450hL,2020,Comprehensive,Petrol,First Owner,Automatic,2020,5.0,19900.0,18.8,3456.0,25881.0,82.0,Lexus RX
2015 Maruti Wagon R VXi BSII,2015,Comprehensive,Petrol,First Owner,Manual,2015,5.0,72503.0,998.0,671.0,90.0,3.21,Maruti Wagon
2020 Mercedes-Benz GLC Coupe 300d 4MATIC BSVI,2020,Comprehensive,Diesel,First Owner,Automatic,2020,5.0,38000.0,16.34,1950.0,24138.0,69.5,Mercedes-Benz GLC
2017 Maruti Ciaz 1.3 Alpha,2018,Comprehensive,Diesel,First Owner,Manual,2017,5.0,67633.0,28.09,1248.0,885.0,6.61,Maruti Ciaz
2019 BMW 6 Series GT 630d Luxury Line,2019,Comprehensive,Diesel,Second Owner,Automatic,2019,4.0,45000.0,17.09,2993.0,2614.0,43.0,BMW 6
2015 Honda Amaze S i-Vtech,2015,Comprehensive,Petrol,First Owner,Manual,2015,5.0,61000.0,18.0,1198.0,867.0,4.6,Honda Amaze
2017 Mercedes-Benz C-Class C 220 CDI Avantgarde,2017,Comprehensive,Diesel,First Owner,Automatic,2017,5.0,30000.0,19.27,2143.0,170.0,27.5,Mercedes-Benz C-Class
2017 Ford Ecosport 1.5 Ti VCT AT Titanium BSIV,2017,Comprehensive,Petrol,First Owner,Automatic,2017,5.0,103030.0,15.63,1499.0,1104.0,6.82,Ford Ecosport
2019 Maruti XL6 Alpha,2019,Third Party,Petrol,First Owner,Manual,2019,6.0,19123.0,19.01,1462.0,1032.0,10.25,Maruti XL6
2019 Mahindra XUV500 W9 BSIV,2019,Comprehensive,Diesel,First Owner,Manual,2019,7.0,70767.0,15.1,2179.0,15287.0,11.6,Mahindra XUV500
2019 Mercedes-Benz E-Class Expression E 200 BSIV,2019,Zero Dep,Petrol,First Owner,Automatic,2019,5.0,25000.0,15.0,1991.0,1944.0,49.75,Mercedes-Benz E-Class
2017 Hyundai Creta 1.6 VTVT E Plus,2017,Third Party,Petrol,First Owner,Manual,2017,5.0,58525.0,15.29,1591.0,1213.0,8.5,Hyundai Creta
2016 Maruti Baleno 1.2 Alpha,2017,Comprehensive,Petrol,First Owner,Manual,2016,5.0,77353.0,21.4,1197.0,831.0,5.2,Maruti Baleno
2018 Maruti Baleno 1.2 Zeta,2018,Comprehensive,Petrol,First Owner,Manual,2018,5.0,59200.0,21.4,1197.0,831.0,6.25,Maruti Baleno
2022 Mercedes-Benz GLE 300d,2022,Comprehensive,Diesel,Second Owner,Automatic,2022,5.0,25000.0,1950.0,24138.0,500.0,79.9,Mercedes-Benz GLE
2018 Maruti SX4 S Cross Zeta DDiS 200 SH,2018,Comprehensive,Diesel,First Owner,Manual,2018,5.0,99230.0,25.1,1248.0,885.0,6.55,Maruti SX4
2017 Hyundai i20 1.2 Magna Executive,2017,Comprehensive,Petrol,First Owner,Manual,2017,5.0,80000.0,18.6,1197.0,8183.0,5.25,Hyundai i20
2018 Maruti Ciaz 1.4 Delta,2018,Comprehensive,Petrol,First Owner,Manual,2018,5.0,50840.0,20.73,1373.0,911.0,6.72,Maruti Ciaz
2023 Mercedes-Benz C-Class C 200,2023,Comprehensive,Petrol,First Owner,Automatic,2023,5.0,1000.0,16.9,1496.0,20115.0,59.75,Mercedes-Benz C-Class
2012 Honda City V AT,2012,Third Party,Petrol,First Owner,Automatic,2012,5.0,150000.0,15.6,1497.0,1163.0,4.5,Honda City
2017 Maruti Baleno 1.2 Zeta,2017,Comprehensive,Petrol,First Owner,Manual,2017,5.0,111142.0,21.4,1197.0,831.0,5.01,Maruti Baleno
2014 Mercedes-Benz C-Class 200 K AT,2014,Comprehensive,Petrol,First Owner,Automatic,2014,5.0,133477.0,11.7,1796.0,178.0,8.5,Mercedes-Benz C-Class
2021 Toyota Fortuner 4X4 Diesel AT,2021,Comprehensive,Diesel,First Owner,Automatic,2021,7.0,23000.0,2755.0,20115.0,500.0,43.0,Toyota Fortuner
2018 Maruti SX4 S Cross Zeta DDiS 200 SH,2018,Comprehensive,Diesel,First Owner,Manual,2018,5.0,120802.0,25.1,1248.0,885.0,5.97,Maruti SX4
2021 Tata Safari XZA Plus (O) Adventure Edition AT BSVI,2021,Comprehensive,Diesel,Second Owner,Automatic,2021,7.0,41000.0,14.08,1956.0,16767.0,20.0,Tata Safari
2015 Toyota Camry Hybrid,2015,Third Party,Petrol,Second Owner,Automatic,2015,5.0,50000.0,19.16,2494.0,1577.0,12.5,Toyota Camry
2021 Mercedes-Benz S-Class S 350 d,2023,Comprehensive,Diesel,First Owner,Automatic,2021,5.0,7900.0,13.5,2925.0,28161.0,1.5,Mercedes-Benz S-Class
2019 Maruti Ciaz Alpha AT BSVI,2019,Comprehensive,Petrol,First Owner,Automatic,2019,5.0,42334.0,20.04,1462.0,10325.0,8.29,Maruti Ciaz
2012 Honda City V AT,2012,Third Party,Petrol,First Owner,Automatic,2012,5.0,150000.0,15.6,1497.0,1163.0,4.25,Honda City
2015 Maruti Swift Dzire VXI,2015,Comprehensive,Petrol,First Owner,Manual,2015,5.0,98275.0,20.85,1197.0,8314.0,3.97,Maruti Swift
2019 Land Rover Range Rover 3.0 Diesel LWB Vogue,2019,Third Party,Diesel,Second Owner,Automatic,2019,5.0,57500.0,13.33,2995.0,33525.0,1.8,Land Rover
2018 Honda WR-V i-VTEC VX,2018,Third Party,Petrol,First Owner,Manual,2018,5.0,65000.0,17.5,1199.0,887.0,6.85,Honda WR-V
2018 Hyundai Verna VTVT 1.6 SX,2018,Comprehensive,Petrol,Second Owner,Manual,2018,5.0,52235.0,17.0,1591.0,1213.0,7.45,Hyundai Verna
2015 Honda City i VTEC V,2015,Comprehensive,Petrol,First Owner,Manual,2015,5.0,50158.0,17.4,1497.0,1173.0,6.95,Honda City
2020 Mercedes-Benz E-Class Exclusive E 220d,2020,Comprehensive,Diesel,Second Owner,Automatic,2020,5.0,34000.0,16.1,1950.0,1917.0,44.9,Mercedes-Benz E-Class
2017 Nissan Sunny XV CVT,2017,Comprehensive,Petrol,First Owner,Automatic,2017,5.0,69820.0,17.5,1498.0,996.0,5.44,Nissan Sunny
2019 Toyota Innova Crysta 2.8 ZX AT BSIV,2019,Comprehensive,Diesel,First Owner,Automatic,2019,7.0,71000.0,11.36,2755.0,1715.0,20.5,Toyota Innova
2018 Maruti Ignis 1.2 AMT Alpha BSIV,2018,Comprehensive,Petrol,First Owner,Automatic,2018,5.0,82415.0,20.89,1197.0,8180.0,5.34,Maruti Ignis
2017 Mercedes-Benz GLS 350d 4MATIC,2017,Third Party,Diesel,Second Owner,Automatic,2017,7.0,70000.0,11.0,2987.0,258.0,51.5,Mercedes-Benz GLS
2018 Renault Duster 110PS Diesel RxZ AMT,2018,Comprehensive,Diesel,First Owner,Automatic,2018,5.0,71070.0,19.6,1461.0,10845.0,7.22,Renault Duster
